nr	periodiserad	namn	forklaring	utgiven	uppdaterad	dcatnr	distribution	landing	conforms_to	datanr	namn_lank	forklaring_lank	fil_lank	filformat	fromdatum	tomdatum
11	ja	Intjänande till inkomstpension, Antal med pensionsrätt, genomsnittligt pensionsunderlag och genomsnittligt pensionsrätt.	Intjänandet till pensionerna kan mätas på olika sätt beroende på vilket mått man väljer att använda. I denna statistik redovisas tre mått för intjänandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsrätt och genomsnittlig pensionsbehållnig. Fördelning efter kön och åldersgrupp.	2017-01-01		http://pensionsmyndigheten.se/datasets/dcat#ds11	http://pensionsmyndigheten.se/datasets/dcat#dist11	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n30	2004-2008	Antal med pensionsrätt, genomsnittligt pensionsunderlag och genomsnittligt pensionsrätt. 2004-2008	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/intj%C3%A4nande/antal-personer-med-intj%C3%A4nad-pensionsr%C3%A4tt/statistik%20f%C3%B6r%20%C3%A5lderspension%20SF0302_01_2004-2008.xlsx	.xlsx	2004-01-01	2016-12-31
11	ja	Intjänande till inkomstpension, Antal med pensionsrätt, genomsnittligt pensionsunderlag och genomsnittligt pensionsrätt.	Intjänandet till pensionerna kan mätas på olika sätt beroende på vilket mått man väljer att använda. I denna statistik redovisas tre mått för intjänandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsrätt och genomsnittlig pensionsbehållnig. Fördelning efter kön och åldersgrupp.	2017-01-01		http://pensionsmyndigheten.se/datasets/dcat#ds12	http://pensionsmyndigheten.se/datasets/dcat#dist12	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n31	2009-2016	Antal med pensionsrätt, genomsnittligt pensionsunderlag och genomsnittligt pensionsrätt. 2009-2016	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/intj%C3%A4nande/antal-personer-med-intj%C3%A4nad-pensionsr%C3%A4tt/Statistik%20f%C3%B6r%20%C3%A5lderspension%20SF0302_01_2009-2016.xlsx	.xlsx	2004-01-01	2016-12-31
12	ja	Intjänande till inkomstpension, Antal med pensionsbehållning och genomsnittlig pensionsbehållning.	Intjänandet till pensionerna kan mätas på olika sätt beroende på vilket mått man väljer att använda. I denna statistik redovisas tre mått för intjänandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsrätt och genomsnittlig pensionsbehållnig. Fördelning efter kön och åldersgrupp.	2017-01-01		http://pensionsmyndigheten.se/datasets/dcat#ds13	http://pensionsmyndigheten.se/datasets/dcat#dist13	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n32	2004-2008	Antal med pensionsbehållning och genomsnittlig pensionsbehållning. 2004 - 2008	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/intj%C3%A4nande/antal-personer-med-pensionsbeh%C3%A5llning/Intj%C3%A4nande%20till%20inkomstpension%202009-2016,%20SF0302_02.xlsx	.xlsx	2004-01-01	2016-12-31
12	ja	Intjänande till inkomstpension, Antal med pensionsbehållning och genomsnittlig pensionsbehållning.	Intjänandet till pensionerna kan mätas på olika sätt beroende på vilket mått man väljer att använda. I denna statistik redovisas tre mått för intjänandet till inkomstpension. Genomsnittligt pensionsunderlag, genomsnittlig penisonsrätt och genomsnittlig pensionsbehållnig. Fördelning efter kön och åldersgrupp.	2017-01-01		http://pensionsmyndigheten.se/datasets/dcat#ds14	http://pensionsmyndigheten.se/datasets/dcat#dist14	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n33	2009-2016	Antal med pensionsbehållning och genomsnittlig pensionsbehållning. 2009-2016	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/intj%C3%A4nande/antal-personer-med-pensionsbeh%C3%A5llning/Intj%C3%A4nande%20till%20inkomstpension%202004-2008,%20SF0302_02.xlsx	.xlsx	2004-01-01	2016-12-31
13	ja	Utbetalning årsstatistik från 2003 Antal pensionärer i december	Statistiken redovisar ålderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive år. Fördelning på kön.	2017-01-01		http://pensionsmyndigheten.se/datasets/dcat#ds15	http://pensionsmyndigheten.se/datasets/dcat#dist15	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n34	2016	Antal pensionärer i december 2016	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/SF0301_01.xlsx	.xlsx	2016-01-01	2016-12-31
13	ja	Utbetalning årsstatistik från 2003 Antal pensionärer i december	Statistiken redovisar ålderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive år. Fördelning på kön.	2016-01-01		http://pensionsmyndigheten.se/datasets/dcat#ds16	http://pensionsmyndigheten.se/datasets/dcat#dist16	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n35	2015	Antal pensionärer i december 2015	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/SF0301-7_Pensioner_och_Pensionstagare_2015p.xlsx	.xlsx	2015-01-01	2015-12-31
13	ja	Utbetalning årsstatistik från 2003 Antal pensionärer i december	Statistiken redovisar ålderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive år. Fördelning på kön.	2015-01-01		http://pensionsmyndigheten.se/datasets/dcat#ds17	http://pensionsmyndigheten.se/datasets/dcat#dist17	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n36	2014	Antal pensionärer i december 2014	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2014.xls	.xls	2014-01-01	2014-12-31
13	ja	Utbetalning årsstatistik från 2003 Antal pensionärer i december	Statistiken redovisar ålderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive år. Fördelning på kön.	2014-01-01		http://pensionsmyndigheten.se/datasets/dcat#ds18	http://pensionsmyndigheten.se/datasets/dcat#dist18	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n37	2013	Antal pensionärer i december 2013	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2013.xls	.xls	2013-01-01	2013-12-31
13	ja	Utbetalning årsstatistik från 2003 Antal pensionärer i december	Statistiken redovisar ålderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive år. Fördelning på kön.	2013-01-01		http://pensionsmyndigheten.se/datasets/dcat#ds19	http://pensionsmyndigheten.se/datasets/dcat#dist19	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n38	2012	Antal pensionärer i december 2012	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2012.xlsx	.xls	2012-01-01	2012-12-31
13	ja	Utbetalning årsstatistik från 2003 Antal pensionärer i december	Statistiken redovisar ålderspensioner i det nuvarande pensionssystemet. Antal pensionstagare, pensioner och utbetalat belopp respektive år. Fördelning på kön.	2012-01-01		http://pensionsmyndigheten.se/datasets/dcat#ds20	http://pensionsmyndigheten.se/datasets/dcat#dist20	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	https://www.pensionsmyndigheten.se/statistik-och-rapporter/statistik/statistik-for-alderspension#3	_n39	2011	Antal pensionärer i december 2011	https://www.pensionsmyndigheten.se/content/dam/pensionsmyndigheten/blanketter---broschyrer---faktablad/statistik/%C3%A5lderspension/utbetalning-%C3%A5rsstatistik-fr%C3%A5n-2003/pensioner-och-pensionstagare-med-%C3%A5p--och-%C3%A4fs/b02101_2011.xls	.xls	2011-01-01	2011-12-31
